produto_id,mes_referencia,preco_casanova,preco_medio_mercado
P0001,2024-01-01,327.74,354.76
P0001,2024-02-01,327.74,333.37
P0001,2024-03-01,327.74,342.69
P0001,2024-04-01,327.74,354.39
P0001,2024-05-01,327.74,353.06
P0001,2024-06-01,327.74,349.02
P0001,2024-07-01,327.74,333.35
P0001,2024-08-01,327.74,346.55
P0001,2024-09-01,327.74,343.49
P0001,2024-10-01,327.74,324.26
P0001,2024-11-01,327.74,325.81
P0001,2024-12-01,327.74,352.64
P0001,2025-01-01,327.74,326.63
P0001,2025-02-01,327.74,324.13
P0001,2025-03-01,327.74,323.63
P0001,2025-04-01,327.74,327.1
P0001,2025-05-01,327.74,349.98
P0001,2025-06-01,327.74,337.61
P0001,2025-07-01,327.74,354.57
P0001,2025-08-01,327.74,327.4
P0001,2025-09-01,327.74,324.07
P0001,2025-10-01,327.74,343.7
P0001,2025-11-01,327.74,346.74
P0001,2025-12-01,327.74,324.36
P0002,2024-01-01,626.21,677.27
P0002,2024-02-01,626.21,685.01
P0002,2024-03-01,626.21,641.12
P0002,2024-04-01,626.21,640.24
P0002,2024-05-01,626.21,686.63
P0002,2024-06-01,626.21,669.02
P0002,2024-07-01,626.21,678.38
P0002,2024-08-01,626.21,682.16
P0002,2024-09-01,626.21,670.67
P0002,2024-10-01,626.21,648.59
P0002,2024-11-01,626.21,673.19
P0002,2024-12-01,626.21,685.18
P0002,2025-01-01,626.21,675.94
P0002,2025-02-01,626.21,695.29
P0002,2025-03-01,626.21,645.49
P0002,2025-04-01,626.21,683.69
P0002,2025-05-01,626.21,678.55
P0002,2025-06-01,626.21,677.4
P0002,2025-07-01,626.21,662.97
P0002,2025-08-01,626.21,654.64
P0002,2025-09-01,626.21,682.97
P0002,2025-10-01,626.21,678.97
P0002,2025-11-01,626.21,687.13
P0002,2025-12-01,626.21,685.13
P0003,2024-01-01,145.28,129.25
P0003,2024-02-01,145.28,129.04
P0003,2024-03-01,145.28,141.48
P0003,2024-04-01,145.28,135.17
P0003,2024-05-01,145.28,132.3
P0003,2024-06-01,145.28,141.13
P0003,2024-07-01,145.28,134.05
P0003,2024-08-01,145.28,142.18
P0003,2024-09-01,145.28,142.1
P0003,2024-10-01,145.28,140.64
P0003,2024-11-01,145.28,138.39
P0003,2024-12-01,145.28,130.43
P0003,2025-01-01,145.28,129.96
P0003,2025-02-01,145.28,130.08
P0003,2025-03-01,145.28,132.68
P0003,2025-04-01,145.28,139.94
P0003,2025-05-01,145.28,131.32
P0003,2025-06-01,145.28,137.64
P0003,2025-07-01,145.28,140.18
P0003,2025-08-01,145.28,133.32
P0003,2025-09-01,145.28,136.5
P0003,2025-10-01,145.28,140.43
P0003,2025-11-01,145.28,142.32
P0003,2025-12-01,145.28,130.77
P0004,2024-01-01,63.5,71.45
P0004,2024-02-01,63.5,70.41
P0004,2024-03-01,63.5,69.02
P0004,2024-04-01,63.5,71.04
P0004,2024-05-01,63.5,72.28
P0004,2024-06-01,63.5,68.58
P0004,2024-07-01,63.5,71.43
P0004,2024-08-01,63.5,67.45
P0004,2024-09-01,63.5,69.74
P0004,2024-10-01,63.5,69.55
P0004,2024-11-01,63.5,69.19
P0004,2024-12-01,63.5,67.87
P0004,2025-01-01,63.5,67.35
P0004,2025-02-01,63.5,67.37
P0004,2025-03-01,63.5,68.47
P0004,2025-04-01,63.5,67.75
P0004,2025-05-01,63.5,72.84
P0004,2025-06-01,63.5,72.55
P0004,2025-07-01,63.5,69.42
P0004,2025-08-01,63.5,70.79
P0004,2025-09-01,63.5,70.63
P0004,2025-10-01,63.5,69.27
P0004,2025-11-01,63.5,71.51
P0004,2025-12-01,63.5,66.58
P0005,2024-01-01,516.93,498.57
P0005,2024-02-01,516.93,483.43
P0005,2024-03-01,516.93,489.23
P0005,2024-04-01,516.93,511.3
P0005,2024-05-01,516.93,496.82
P0005,2024-06-01,516.93,507.65
P0005,2024-07-01,516.93,491.36
P0005,2024-08-01,516.93,488.4
P0005,2024-09-01,516.93,485.44
P0005,2024-10-01,516.93,466.71
P0005,2024-11-01,516.93,497.79
P0005,2024-12-01,516.93,500.59
P0005,2025-01-01,516.93,508.09
P0005,2025-02-01,516.93,509.12
P0005,2025-03-01,516.93,472.71
P0005,2025-04-01,516.93,492.78
P0005,2025-05-01,516.93,496.44
P0005,2025-06-01,516.93,505.98
P0005,2025-07-01,516.93,468.32
P0005,2025-08-01,516.93,503.63
P0005,2025-09-01,516.93,484.8
P0005,2025-10-01,516.93,479.93
P0005,2025-11-01,516.93,478.55
P0005,2025-12-01,516.93,513.98
P0006,2024-01-01,32.19,27.41
P0006,2024-02-01,32.19,30.27
P0006,2024-03-01,32.19,27.62
P0006,2024-04-01,32.19,29.65
P0006,2024-05-01,32.19,28.03
P0006,2024-06-01,32.19,28.2
P0006,2024-07-01,32.19,28.28
P0006,2024-08-01,32.19,30.37
P0006,2024-09-01,32.19,30.35
P0006,2024-10-01,32.19,27.66
P0006,2024-11-01,32.19,28.29
P0006,2024-12-01,32.19,29.36
P0006,2025-01-01,32.19,28.4
P0006,2025-02-01,32.19,28.67
P0006,2025-03-01,32.19,29.88
P0006,2025-04-01,32.19,28.89
P0006,2025-05-01,32.19,27.84
P0006,2025-06-01,32.19,27.3
P0006,2025-07-01,32.19,30.02
P0006,2025-08-01,32.19,29.46
P0006,2025-09-01,32.19,28.89
P0006,2025-10-01,32.19,27.34
P0006,2025-11-01,32.19,27.63
P0006,2025-12-01,32.19,29.6
P0007,2024-01-01,710.09,673.02
P0007,2024-02-01,710.09,672.98
P0007,2024-03-01,710.09,663.32
P0007,2024-04-01,710.09,630.81
P0007,2024-05-01,710.09,690.64
P0007,2024-06-01,710.09,646.15
P0007,2024-07-01,710.09,670.17
P0007,2024-08-01,710.09,676.04
P0007,2024-09-01,710.09,666.25
P0007,2024-10-01,710.09,653.8
P0007,2024-11-01,710.09,659.79
P0007,2024-12-01,710.09,684.73
P0007,2025-01-01,710.09,644.45
P0007,2025-02-01,710.09,650.03
P0007,2025-03-01,710.09,670.62
P0007,2025-04-01,710.09,678.07
P0007,2025-05-01,710.09,627.6
P0007,2025-06-01,710.09,649.14
P0007,2025-07-01,710.09,683.55
P0007,2025-08-01,710.09,690.61
P0007,2025-09-01,710.09,671.09
P0007,2025-10-01,710.09,635.17
P0007,2025-11-01,710.09,647.67
P0007,2025-12-01,710.09,629.41
P0008,2024-01-01,166.82,145.95
P0008,2024-02-01,166.82,136.63
P0008,2024-03-01,166.82,142.66
P0008,2024-04-01,166.82,141.38
P0008,2024-05-01,166.82,138.72
P0008,2024-06-01,166.82,136.31
P0008,2024-07-01,166.82,135.54
P0008,2024-08-01,166.82,139.98
P0008,2024-09-01,166.82,138.22
P0008,2024-10-01,166.82,142.16
P0008,2024-11-01,166.82,142.29
P0008,2024-12-01,166.82,146.18
P0008,2025-01-01,166.82,140.79
