data,categoria,dispositivo,visualizacoes,add_carrinho,checkout_iniciado,compra_concluida
2024-01-01,Ferramentas,mobile,145,28,16,8
2024-01-01,Ferramentas,desktop,293,67,38,20
2024-01-01,Iluminação,mobile,278,52,26,16
2024-01-01,Iluminação,desktop,98,17,9,5
2024-01-01,Utilidades Domésticas,mobile,148,28,16,11
2024-01-01,Utilidades Domésticas,desktop,217,49,22,18
2024-01-01,Jardim e Área Externa,mobile,120,25,11,6
2024-01-01,Jardim e Área Externa,desktop,262,69,34,19
2024-01-01,Organização,mobile,235,57,26,19
2024-01-01,Organização,desktop,207,52,25,17
2024-01-01,Elétrica,mobile,97,18,8,2
2024-01-01,Elétrica,desktop,294,69,39,14
2024-01-01,Hidráulica,mobile,239,54,27,12
2024-01-01,Hidráulica,desktop,167,43,25,9
2024-01-01,Pintura e Acabamento,mobile,196,35,17,9
2024-01-01,Pintura e Acabamento,desktop,232,63,33,21
2024-01-01,Segurança,mobile,121,30,15,5
2024-01-01,Segurança,desktop,295,72,34,11
2024-01-02,Ferramentas,mobile,189,52,30,19
2024-01-02,Ferramentas,desktop,152,28,13,7
2024-01-02,Iluminação,mobile,131,34,17,12
2024-01-02,Iluminação,desktop,180,48,22,13
2024-01-02,Utilidades Domésticas,mobile,226,44,25,21
2024-01-02,Utilidades Domésticas,desktop,165,37,17,12
2024-01-02,Jardim e Área Externa,mobile,135,33,15,11
2024-01-02,Jardim e Área Externa,desktop,223,56,32,22
2024-01-02,Organização,mobile,221,42,20,16
2024-01-02,Organização,desktop,80,14,6,3
2024-01-02,Elétrica,mobile,269,55,32,13
2024-01-02,Elétrica,desktop,241,57,31,12
2024-01-02,Hidráulica,mobile,270,69,34,16
2024-01-02,Hidráulica,desktop,244,62,28,13
2024-01-02,Pintura e Acabamento,mobile,299,59,28,16
2024-01-02,Pintura e Acabamento,desktop,232,46,21,15
2024-01-02,Segurança,mobile,83,19,10,2
2024-01-02,Segurança,desktop,110,27,12,3
2024-01-03,Ferramentas,mobile,194,47,23,16
2024-01-03,Ferramentas,desktop,256,69,37,21
2024-01-03,Iluminação,mobile,270,70,38,26
2024-01-03,Iluminação,desktop,261,63,36,26
2024-01-03,Utilidades Domésticas,mobile,112,22,10,8
2024-01-03,Utilidades Domésticas,desktop,86,20,11,7
2024-01-03,Jardim e Área Externa,mobile,94,21,9,5
2024-01-03,Jardim e Área Externa,desktop,265,51,27,15
2024-01-03,Organização,mobile,243,47,27,22
2024-01-03,Organização,desktop,287,71,34,27
2024-01-03,Elétrica,mobile,173,38,20,8
2024-01-03,Elétrica,desktop,222,57,28,11
2024-01-03,Hidráulica,mobile,248,60,33,13
2024-01-03,Hidráulica,desktop,142,30,16,6
2024-01-03,Pintura e Acabamento,mobile,296,80,42,29
2024-01-03,Pintura e Acabamento,desktop,173,34,16,9
2024-01-03,Segurança,mobile,268,52,27,7
2024-01-03,Segurança,desktop,172,44,26,9
2024-01-04,Ferramentas,mobile,150,27,15,9
2024-01-04,Ferramentas,desktop,222,44,25,16
2024-01-04,Iluminação,mobile,253,50,28,17
2024-01-04,Iluminação,desktop,150,34,17,13
2024-01-04,Utilidades Domésticas,mobile,217,47,27,20
2024-01-04,Utilidades Domésticas,desktop,154,29,13,10
2024-01-04,Jardim e Área Externa,mobile,182,43,24,14
2024-01-04,Jardim e Área Externa,desktop,195,36,16,10
2024-01-04,Organização,mobile,146,38,19,13
2024-01-04,Organização,desktop,209,38,17,13
2024-01-04,Elétrica,mobile,240,54,31,13
2024-01-04,Elétrica,desktop,215,42,21,7
2024-01-04,Hidráulica,mobile,213,59,29,14
2024-01-04,Hidráulica,desktop,117,27,14,5
2024-01-04,Pintura e Acabamento,mobile,96,20,10,6
2024-01-04,Pintura e Acabamento,desktop,267,66,35,21
2024-01-04,Segurança,mobile,155,32,16,5
2024-01-04,Segurança,desktop,120,26,12,3
2024-01-05,Ferramentas,mobile,280,72,34,21
2024-01-05,Ferramentas,desktop,150,27,12,7
2024-01-05,Iluminação,mobile,253,66,35,23
2024-01-05,Iluminação,desktop,283,54,26,20
2024-01-05,Utilidades Domésticas,mobile,277,76,45,35
2024-01-05,Utilidades Domésticas,desktop,243,67,36,25
2024-01-05,Jardim e Área Externa,mobile,226,43,22,13
