item_id,pedido_id,produto_id,quantidade,preco_unitario,desconto,valor_total_item
1,1,74,2,639.52,0.0,1279.04
2,2,85,2,1844.63,0.0,3689.26
3,2,55,3,2183.63,0.0,6550.89
4,3,52,1,2043.74,0.09,2043.65
5,4,121,1,1878.7,0.01,1878.69
6,5,86,3,161.77,0.0,485.31000000000006
7,5,16,3,496.88,0.01,1490.6299999999999
8,6,144,2,2123.08,0.0,4246.16
9,6,52,3,2043.74,0.0,6131.22
10,7,94,1,1680.92,0.0,1680.92
11,8,90,4,1021.36,0.0,4085.44
12,8,133,4,2453.25,0.0,9813.0
13,9,86,2,161.77,0.0,323.54
14,9,95,4,1001.55,0.0,4006.2
15,10,145,4,1277.66,0.0,5110.64
16,11,11,2,250.01,0.01,500.01
17,11,54,3,2368.18,0.0,7104.539999999999
18,12,63,2,2151.9,0.01,4303.79
19,13,115,4,2261.74,0.0,9046.96
20,13,45,1,760.14,0.0,760.14
21,13,12,2,1517.24,0.02,3034.46
22,14,32,1,1469.77,0.0,1469.77
23,14,115,4,2261.74,0.0,9046.96
24,15,130,1,572.85,0.0,572.85
25,16,58,2,1631.7,0.0,3263.4
26,16,125,1,2009.54,0.06,2009.48
27,17,12,4,1517.24,0.0,6068.96
28,17,18,2,2141.19,0.0,4282.38
29,17,103,3,1331.77,0.0,3995.31
30,18,81,4,2317.76,0.11,9270.93
31,18,8,4,2027.39,0.06,8109.5
32,19,84,1,755.84,0.02,755.82
33,20,126,2,681.68,0.0,1363.36
34,21,85,2,1844.63,0.01,3689.25
35,21,149,4,1431.38,0.11,5725.410000000001
36,22,7,3,1060.41,0.0,3181.2300000000005
37,23,75,1,2023.9,0.0,2023.9
38,24,61,3,1479.33,0.0,4437.99
39,24,79,1,2164.33,0.0,2164.33
40,25,61,1,1479.33,0.09,1479.24
41,25,117,2,123.74,0.08,247.39999999999998
42,26,94,2,1680.92,0.08,3361.76
43,27,2,4,573.56,0.13,2294.1099999999997
44,27,44,1,1279.05,0.0,1279.05
45,28,118,3,2249.33,0.03,6747.96
46,28,120,3,2212.65,0.0,6637.950000000001
47,29,31,2,1867.57,0.07,3735.0699999999997
48,29,25,2,1401.24,0.0,2802.48
49,29,149,3,1431.38,0.0,4294.14
50,30,3,2,1856.86,0.1,3713.62
51,30,8,2,2027.39,0.03,4054.75
52,30,83,3,1661.44,0.06,4984.259999999999
53,31,81,1,2317.76,0.0,2317.76
54,31,78,3,432.45,0.0,1297.35
55,32,145,4,1277.66,0.0,5110.64
56,32,149,3,1431.38,0.0,4294.14
57,32,101,4,726.77,0.12,2906.96
58,33,102,3,1764.78,0.02,5294.32
59,33,127,4,968.7,0.01,3874.79
60,34,86,2,161.77,0.13,323.41
61,35,116,3,1464.62,0.0,4393.86
62,36,114,2,43.98,0.1,87.86
63,36,125,4,2009.54,0.0,8038.16
64,36,89,3,189.93,0.0,569.79
65,37,36,3,1984.36,0.01,5953.07
66,38,63,1,2151.9,0.0,2151.9
67,38,125,3,2009.54,0.11,6028.51
68,39,50,1,613.84,0.0,613.84
69,39,45,1,760.14,0.0,760.14
70,40,148,2,1699.75,0.0,3399.5
71,40,109,3,642.78,0.05,1928.29
72,41,100,2,2204.54,0.0,4409.08
73,41,132,3,890.84,0.13,2672.39
74,42,78,1,432.45,0.0,432.45
75,43,145,4,1277.66,0.0,5110.64
76,44,48,4,2297.86,0.0,9191.44
77,45,27,3,1014.89,0.02,3044.65
78,45,67,2,2022.59,0.15,4045.0299999999997
79,46,121,2,1878.7,0.0,3757.4
80,47,82,1,1069.06,0.0,1069.06
81,47,19,2,709.37,0.11,1418.63
82,47,110,4,248.9,0.0,995.6
83,48,128,1,571.64,0.0,571.64
84,49,48,2,2297.86,0.09,4595.63
85,50,146,1,1017.95,0.0,1017.95
86,51,25,2,1401.24,0.13,2802.35
87,52,53,4,1919.27,0.0,7677.08
88,53,22,1,197.08,0.06,197.02
89,53,140,1,1309.4,0.0,1309.4
90,54,64,1,710.62,0.0,710.62
91,55,25,2,1401.24,0.0,2802.48
92,56,71,3,1018.5,0.0,3055.5
93,57,35,3,2155.54,0.0,6466.62
94,58,7,4,1060.41,0.0,4241.64
95,58,55,3,2183.63,0.0,6550.89
96,59,138,4,306.8,0.0,1227.2
97,59,34,1,1283.63,0.0,1283.63
98,60,146,4,1017.95,0.0,4071.8
99,61,136,3,288.84,0.05,866.47
100,62,122,3,2164.22,0.0,6492.66
101,63,108,1,1592.91,0.0,1592.91
102,63,54,1,2368.18,0.0,2368.18
103,63,121,3,1878.7,0.0,5636.1
104,64,85,3,1844.63,0.07,5533.820000000001
105,64,1,3,296.1,0.0,888.3000000000001
106,64,111,2,129.34,0.0,258.68
107,65,92,4,223.32,0.0,893.28
108,65,24,3,689.47,0.0,2068.41
109,66,43,2,673.2,0.14,1346.26
110,66,48,2,2297.86,0.02,4595.7
111,67,8,3,2027.39,0.0,6082.17
112,68,93,3,1316.5,0.0,3949.5
113,69,132,3,890.84,0.0,2672.52
114,70,82,1,1069.06,0.0,1069.06
115,70,28,1,2193.39,0.0,2193.39
116,70,34,1,1283.63,0.0,1283.63
117,71,106,2,1391.99,0.0,2783.98
118,72,142,3,508.65,0.12,1525.83
119,72,10,4,553.98,0.0,2215.92
120,73,98,4,2490.32,0.03,9961.25
121,73,82,1,1069.06,0.03,1069.03
122,74,143,2,2303.51,0.0,4607.02
123,74,67,4,2022.59,0.0,8090.36
124,74,47,1,1357.66,0.0,1357.66
125,75,117,3,123.74,0.0,371.21999999999997
126,76,62,1,1585.14,0.01,1585.13
127,76,141,4,1804.19,0.0,7216.76
128,77,108,1,1592.91,0.0,1592.91
129,77,119,2,1673.99,0.0,3347.98
130,78,35,1,2155.54,0.0,2155.54
131,78,81,1,2317.76,0.0,2317.76
132,78,82,4,1069.06,0.13,4276.11
133,79,79,3,2164.33,0.0,6492.99
134,80,60,2,858.45,0.0,1716.9
135,80,70,4,1640.57,0.0,6562.28
136,81,68,2,1654.28,0.0,3308.56
137,82,86,2,161.77,0.0,323.54
138,82,81,3,2317.76,0.0,6953.280000000001
139,82,69,2,1178.22,0.03,2356.41
140,83,50,4,613.84,0.1,2455.26
141,84,129,1,887.15,0.0,887.15
142,85,29,4,1258.09,0.0,5032.36
143,85,42,4,28.05,0.0,112.2
144,85,27,2,1014.89,0.0,2029.78
145,86,74,3,639.52,0.06,1918.5
146,87,60,3,858.45,0.0,2575.3500000000004
147,88,82,4,1069.06,0.0,4276.24
148,88,71,1,1018.5,0.11,1018.39
149,88,5,4,597.0,0.0,2388.0
150,89,76,4,145.46,0.12,581.72
151,90,43,2,673.2,0.0,1346.4
152,90,33,1,917.75,0.0,917.75
153,90,95,2,1001.55,0.0,2003.1
154,91,29,4,1258.09,0.09,5032.2699999999995
155,91,15,2,1553.93,0.0,3107.86
156,92,129,3,887.15,0.08,2661.37
157,92,98,3,2490.32,0.0,7470.960000000001
158,93,68,2,1654.28,0.0,3308.56
159,93,111,4,129.34,0.0,517.36
160,94,1,3,296.1,0.0,888.3000000000001
161,94,48,4,2297.86,0.0,9191.44
162,94,99,3,1274.59,0.0,3823.7699999999995
163,95,9,4,1751.39,0.0,7005.56
164,96,83,4,1661.44,0.0,6645.76
165,97,91,4,630.61,0.0,2522.44
166,97,137,2,1970.34,0.0,3940.68
167,98,82,2,1069.06,0.0,2138.12
168,99,18,3,2141.19,0.0,6423.57
169,100,94,2,1680.92,0.08,3361.76
170,100,147,2,495.76,0.05,991.47
171,101,23,1,1828.23,0.0,1828.23
172,101,121,2,1878.7,0.0,3757.4
173,102,145,1,1277.66,0.04,1277.6200000000001
174,103,149,1,1431.38,0.11,1431.2700000000002
175,103,6,1,513.12,0.0,513.12
176,104,27,4,1014.89,0.0,4059.56
177,104,50,3,613.84,0.0,1841.52
178,105,143,1,2303.51,0.0,2303.51
179,105,141,2,1804.19,0.0,3608.38
180,105,64,1,710.62,0.0,710.62
181,106,37,2,974.22,0.0,1948.44
182,106,21,4,682.1,0.0,2728.4
183,107,104,1,762.46,0.0,762.46
184,107,122,4,2164.22,0.11,8656.769999999999
185,108,22,3,197.08,0.0,591.24
186,108,83,4,1661.44,0.0,6645.76
187,109,144,2,2123.08,0.0,4246.16
188,109,138,1,306.8,0.0,306.8
189,110,88,1,2402.73,0.0,2402.73
190,111,119,2,1673.99,0.0,3347.98
191,112,61,2,1479.33,0.0,2958.66
192,112,78,2,432.45,0.0,864.9
193,112,7,3,1060.41,0.0,3181.2300000000005
194,113,6,2,513.12,0.0,1026.24
195,113,92,2,223.32,0.0,446.64
196,113,85,3,1844.63,0.0,5533.89
197,114,3,2,1856.86,0.0,3713.72
198,114,87,4,2300.08,0.0,9200.32
199,115,50,3,613.84,0.01,1841.51
200,115,76,1,145.46,0.0,145.46
201,115,99,4,1274.59,0.0,5098.36
202,116,12,1,1517.24,0.0,1517.24
203,116,100,3,2204.54,0.0,6613.62
204,117,20,3,423.38,0.0,1270.1399999999999
205,117,133,3,2453.25,0.0,7359.75
206,118,43,4,673.2,0.0,2692.8
207,119,54,3,2368.18,0.0,7104.539999999999
208,119,48,1,2297.86,0.0,2297.86
209,119,37,2,974.22,0.0,1948.44
210,120,119,2,1673.99,0.0,3347.98
211,120,135,2,1459.86,0.0,2919.72
212,120,120,2,2212.65,0.06,4425.24
213,121,131,4,834.09,0.14,3336.2200000000003
214,121,86,2,161.77,0.0,323.54
215,122,147,3,495.76,0.0,1487.28
216,122,57,3,518.85,0.0,1556.5500000000002
217,123,3,1,1856.86,0.0,1856.86
218,123,97,2,43.1,0.0,86.2
219,124,148,2,1699.75,0.0,3399.5
220,124,101,3,726.77,0.0,2180.31
221,124,69,2,1178.22,0.0,2356.44
222,125,11,1,250.01,0.08,249.92999999999998
223,126,49,2,68.3,0.0,136.6
224,126,142,1,508.65,0.13,508.52
225,127,96,4,1153.92,0.0,4615.68
226,128,12,1,1517.24,0.04,1517.2
227,129,91,3,630.61,0.0,1891.83
228,129,56,4,2323.71,0.0,9294.84
229,130,96,3,1153.92,0.0,3461.76
230,130,50,4,613.84,0.0,2455.36
231,131,93,3,1316.5,0.0,3949.5
232,131,102,4,1764.78,0.0,7059.12
233,131,117,3,123.74,0.0,371.21999999999997
234,132,45,3,760.14,0.0,2280.42
235,132,93,3,1316.5,0.0,3949.5
236,132,57,4,518.85,0.0,2075.4
237,133,12,4,1517.24,0.0,6068.96
238,133,15,2,1553.93,0.0,3107.86
239,134,135,3,1459.86,0.0,4379.58
240,134,88,1,2402.73,0.0,2402.73
241,134,140,4,1309.4,0.0,5237.6
242,135,142,3,508.65,0.0,1525.9499999999998
243,135,140,1,1309.4,0.0,1309.4
244,136,78,2,432.45,0.0,864.9
245,136,14,1,215.42,0.0,215.42
246,137,17,4,585.19,0.0,2340.76
247,138,9,4,1751.39,0.06,7005.5
248,139,148,1,1699.75,0.0,1699.75
249,140,134,4,306.05,0.0,1224.2
250,140,77,1,2423.11,0.0,2423.11
251,141,89,2,189.93,0.0,379.86
252,142,93,4,1316.5,0.0,5266.0
253,142,150,1,773.61,0.0,773.61
254,142,33,3,917.75,0.15,2753.1
255,143,99,1,1274.59,0.0,1274.59
256,143,81,4,2317.76,0.01,9271.03
257,143,133,4,2453.25,0.0,9813.0
258,144,68,4,1654.28,0.09,6617.03
259,145,41,2,296.65,0.03,593.27
260,145,86,4,161.77,0.0,647.08
261,146,123,1,2205.91,0.0,2205.91
262,146,82,4,1069.06,0.0,4276.24
263,147,132,2,890.84,0.05,1781.63
264,147,140,4,1309.4,0.0,5237.6
265,148,25,2,1401.24,0.0,2802.48
266,148,141,4,1804.19,0.1,7216.66
267,149,22,3,197.08,0.0,591.24
268,149,95,4,1001.55,0.0,4006.2
269,149,143,4,2303.51,0.0,9214.04
270,150,129,4,887.15,0.05,3548.5499999999997
271,151,60,2,858.45,0.0,1716.9
272,151,17,2,585.19,0.09,1170.2900000000002
273,152,142,2,508.65,0.0,1017.3
274,152,10,3,553.98,0.04,1661.9
275,153,127,2,968.7,0.0,1937.4
276,153,104,1,762.46,0.0,762.46
277,154,98,1,2490.32,0.0,2490.32
278,155,68,4,1654.28,0.0,6617.12
279,155,129,4,887.15,0.0,3548.6
280,156,126,3,681.68,0.0,2045.04
281,156,5,1,597.0,0.04,596.96
282,157,139,1,651.71,0.04,651.6700000000001
283,158,95,4,1001.55,0.0,4006.2
284,158,47,1,1357.66,0.14,1357.52
285,159,104,2,762.46,0.08,1524.8400000000001
286,159,31,1,1867.57,0.0,1867.57
