pedido_id,cliente_id,loja_id,canal,data_pedido,status
1,11548,3,Física,2022-04-13 05:52:00,Cancelado
2,9565,4,Física,2022-07-11 05:43:00,Pendente
3,7007,6,App,2023-12-19 01:41:00,Pendente
4,9512,7,Online,2022-03-23 00:08:00,Entregue
5,980,5,Online,2022-03-21 14:04:00,Entregue
6,5984,6,Física,2022-07-25 21:20:00,Entregue
7,2471,6,App,2022-10-09 21:49:00,Entregue
8,2792,6,Física,2023-12-01 18:10:00,Entregue
9,10254,3,Online,2023-04-03 22:27:00,Pendente
10,9914,7,App,2022-06-24 17:51:00,Cancelado
11,1693,2,Online,2023-12-29 14:22:00,Pendente
12,4582,7,App,2022-06-22 09:49:00,Entregue
13,8430,2,Online,2022-06-08 11:30:00,Entregue
14,7514,7,Física,2022-07-09 03:50:00,Cancelado
15,2116,5,Física,2023-02-16 07:48:00,Cancelado
16,2960,3,App,2022-03-03 10:05:00,Entregue
17,10893,6,Física,2023-09-24 16:39:00,Entregue
18,7630,7,Física,2022-02-01 09:16:00,Entregue
19,5961,6,Online,2023-08-31 23:25:00,Entregue
20,9903,3,Física,2022-05-01 11:04:00,Entregue
21,7718,7,App,2022-01-14 22:03:00,Entregue
22,10173,7,Física,2022-08-16 05:55:00,Entregue
23,10627,4,Física,2022-10-29 19:35:00,Pendente
24,3973,7,App,2022-05-30 10:56:00,Entregue
25,1841,2,Física,2022-08-04 04:38:00,Cancelado
26,6730,7,Física,2022-12-01 17:05:00,Cancelado
27,5435,6,App,2022-03-06 04:44:00,Pendente
28,4010,7,Online,2022-01-09 20:57:00,Cancelado
29,7763,2,App,2022-04-22 18:41:00,Entregue
30,9340,7,App,2022-11-19 22:20:00,Entregue
31,8622,7,Física,2022-10-25 10:22:00,Entregue
32,1466,6,App,2022-06-30 16:09:00,Entregue
33,11300,4,Física,2023-06-12 20:23:00,Cancelado
34,1562,1,Online,2023-06-25 06:57:00,Entregue
35,11872,4,App,2022-01-13 23:51:00,Entregue
36,5519,1,App,2022-12-09 09:18:00,Entregue
37,9959,3,App,2022-05-08 07:40:00,Pendente
38,11651,1,Física,2022-03-28 21:42:00,Entregue
39,10953,5,Online,2022-04-15 14:19:00,Entregue
40,6504,6,Online,2022-08-20 11:18:00,Entregue
41,6821,3,Online,2023-07-19 05:24:00,Cancelado
42,5850,5,Física,2023-05-26 04:32:00,Entregue
43,6283,1,Online,2022-01-23 04:46:00,Pendente
44,8097,4,Física,2022-05-05 19:56:00,Entregue
45,7202,4,Online,2022-12-16 11:51:00,Cancelado
46,7285,1,Física,2022-04-04 13:39:00,Entregue
47,9941,7,Online,2022-08-21 19:04:00,Entregue
48,4092,6,Física,2023-04-10 21:39:00,Cancelado
49,5360,5,Física,2023-01-24 04:52:00,Cancelado
50,4128,4,App,2023-11-14 15:54:00,Pendente
51,4263,3,Física,2022-09-10 20:59:00,Entregue
52,4912,7,Física,2023-02-21 23:39:00,Pendente
53,7476,6,Online,2022-06-09 00:12:00,Entregue
54,5172,1,Física,2022-05-08 13:58:00,Entregue
55,7872,5,Física,2023-04-02 22:48:00,Entregue
56,11594,2,Online,2023-01-06 16:41:00,Pendente
57,6772,3,App,2022-08-06 21:06:00,Pendente
58,1338,4,Online,2023-12-08 14:58:00,Entregue
59,10151,4,Online,2022-05-02 23:32:00,Entregue
60,3337,3,Online,2023-07-03 07:47:00,Entregue
61,7720,1,Online,2023-04-03 21:24:00,Entregue
62,319,1,Online,2023-11-02 23:50:00,Entregue
63,4527,7,App,2023-11-11 05:15:00,Entregue
64,8613,1,Física,2022-05-03 18:43:00,Pendente
65,2645,4,Online,2023-10-10 14:59:00,Entregue
66,483,4,App,2022-06-04 10:02:00,Pendente
67,3195,7,Online,2023-03-16 11:52:00,Entregue
68,8820,3,Física,2023-06-21 02:07:00,Entregue
69,7636,7,Física,2022-04-29 13:21:00,Pendente
70,2481,2,App,2023-09-04 00:30:00,Entregue
71,3273,7,Online,2023-11-01 22:52:00,Entregue
72,7554,4,Online,2023-01-12 18:17:00,Pendente
73,31,4,App,2023-08-04 07:53:00,Entregue
74,11582,5,Física,2023-05-04 13:22:00,Cancelado
75,11015,2,Física,2023-01-04 12:22:00,Entregue
76,8891,2,App,2023-08-23 19:58:00,Entregue
77,9549,6,App,2022-02-10 00:26:00,Entregue
78,4459,5,Online,2023-07-25 08:26:00,Entregue
79,8735,7,App,2023-04-18 06:00:00,Cancelado
80,11079,3,App,2023-07-13 21:29:00,Entregue
81,9659,3,App,2023-10-06 07:04:00,Cancelado
82,8057,5,Física,2023-06-07 07:33:00,Entregue
83,2762,1,Física,2022-08-10 01:14:00,Pendente
84,2664,2,Física,2023-02-11 15:54:00,Entregue
85,4715,2,Online,2023-02-25 03:21:00,Cancelado
86,5558,2,App,2022-03-14 18:09:00,Entregue
87,694,3,Física,2023-06-11 17:56:00,Entregue
88,7056,5,Física,2023-10-22 17:59:00,Entregue
89,650,4,Física,2023-01-06 00:54:00,Entregue
90,4896,7,Online,2022-02-04 16:05:00,Entregue
91,1407,2,App,2023-03-30 03:25:00,Entregue
92,961,6,Online,2023-07-14 01:26:00,Cancelado
93,10289,5,App,2022-03-29 23:09:00,Entregue
94,9627,7,Física,2023-03-16 01:58:00,Pendente
95,1375,6,Online,2023-02-10 04:03:00,Entregue
96,212,2,App,2022-12-01 01:10:00,Pendente
97,6653,1,Online,2022-04-09 23:49:00,Entregue
98,10756,4,App,2022-01-22 01:09:00,Entregue
99,4918,6,Online,2023-02-24 09:38:00,Entregue
100,7336,3,Física,2023-04-14 14:51:00,Entregue
101,3761,1,App,2022-03-18 13:24:00,Entregue
102,5359,1,Física,2022-04-16 15:37:00,Entregue
103,8793,7,App,2023-04-13 10:53:00,Cancelado
104,6318,1,App,2022-07-06 15:01:00,Entregue
105,10157,5,Online,2023-11-05 12:30:00,Pendente
106,3972,2,Online,2022-11-16 21:49:00,Entregue
107,2126,2,Online,2022-04-06 14:47:00,Pendente
108,1473,2,Online,2023-02-01 23:01:00,Pendente
