tabela,coluna,regra,numero_violacoes,pct_violacoes,status
clientes,cliente_id,Não Nulo (Completude),0,0.0,OK
clientes,nome,Não Nulo (Completude),0,0.0,OK
clientes,cpf,Não Nulo (Completude),0,0.0,OK
clientes,email,Não Nulo (Completude),600,5.0,WARNING
clientes,telefone,Não Nulo (Completude),0,0.0,OK
clientes,cidade,Não Nulo (Completude),0,0.0,OK
clientes,estado,Não Nulo (Completude),0,0.0,OK
clientes,data_cadastro,Não Nulo (Completude),0,0.0,OK
lojas,loja_id,Não Nulo (Completude),0,0.0,OK
lojas,nome_loja,Não Nulo (Completude),0,0.0,OK
lojas,cidade,Não Nulo (Completude),0,0.0,OK
lojas,estado,Não Nulo (Completude),0,0.0,OK
lojas,tipo_canal,Não Nulo (Completude),0,0.0,OK
lojas,data_abertura,Não Nulo (Completude),0,0.0,OK
produtos,produto_id,Não Nulo (Completude),0,0.0,OK
produtos,nome_produto,Não Nulo (Completude),0,0.0,OK
produtos,categoria,Não Nulo (Completude),6,4.0,WARNING
produtos,preco_tabela,Não Nulo (Completude),0,0.0,OK
produtos,custo,Não Nulo (Completude),0,0.0,OK
produtos,ativo,Não Nulo (Completude),0,0.0,OK
pedidos,pedido_id,Não Nulo (Completude),0,0.0,OK
pedidos,cliente_id,Não Nulo (Completude),0,0.0,OK
pedidos,loja_id,Não Nulo (Completude),0,0.0,OK
pedidos,canal,Não Nulo (Completude),0,0.0,OK
pedidos,data_pedido,Não Nulo (Completude),0,0.0,OK
pedidos,status,Não Nulo (Completude),0,0.0,OK
itens_pedido,item_id,Não Nulo (Completude),0,0.0,OK
itens_pedido,pedido_id,Não Nulo (Completude),0,0.0,OK
itens_pedido,produto_id,Não Nulo (Completude),0,0.0,OK
itens_pedido,quantidade,Não Nulo (Completude),0,0.0,OK
itens_pedido,preco_unitario,Não Nulo (Completude),0,0.0,OK
itens_pedido,desconto,Não Nulo (Completude),0,0.0,OK
estoque,produto_id,Não Nulo (Completude),0,0.0,OK
estoque,loja_id,Não Nulo (Completude),0,0.0,OK
estoque,data_snapshot,Não Nulo (Completude),0,0.0,OK
estoque,quantidade_disponivel,Não Nulo (Completude),0,0.0,OK
funil_ecommerce,data,Não Nulo (Completude),0,0.0,OK
funil_ecommerce,categoria,Não Nulo (Completude),0,0.0,OK
funil_ecommerce,dispositivo,Não Nulo (Completude),0,0.0,OK
funil_ecommerce,visualizacoes,Não Nulo (Completude),0,0.0,OK
funil_ecommerce,add_carrinho,Não Nulo (Completude),0,0.0,OK
funil_ecommerce,checkout_iniciado,Não Nulo (Completude),0,0.0,OK
funil_ecommerce,compra_concluida,Não Nulo (Completude),0,0.0,OK
concorrencia_precos,produto_id,Não Nulo (Completude),0,0.0,OK
concorrencia_precos,mes_referencia,Não Nulo (Completude),0,0.0,OK
concorrencia_precos,preco_casanova,Não Nulo (Completude),0,0.0,OK
concorrencia_precos,preco_medio_mercado,Não Nulo (Completude),0,0.0,OK
clientes,cliente_id,Chave Primária Única,0,0.0,OK
clientes,cpf,CPF Único,0,0.0,OK
produtos,produto_id,Chave Primária Única,0,0.0,OK
lojas,loja_id,Chave Primária Única,0,0.0,OK
pedidos,pedido_id,Chave Primária Única,0,0.0,OK
itens_pedido,item_id,Chave Primária Única,0,0.0,OK
produtos,preco_tabela,Preço > 0,0,0.0,OK
produtos,custo,Custo > 0,0,0.0,OK
itens_pedido,quantidade,Quantidade > 0,0,0.0,OK
itens_pedido,preco_unitario,Preço Unitário > 0,0,0.0,OK
estoque,quantidade_disponivel,Estoque >= 0,252,1.0,WARNING
pedidos,cliente_id,FK em clientes.csv,0,0.0,OK
pedidos,loja_id,FK em lojas.csv,45904,100.0,CRITICAL
itens_pedido,pedido_id,FK em pedidos.csv,0,0.0,OK
itens_pedido,produto_id,FK em produtos.csv,0,0.0,OK
estoque,produto_id,FK em produtos.csv,25200,100.0,WARNING
