produto_id,loja_id,data_snapshot,quantidade_disponivel
P0001,L001,2024-01-01,30
P0002,L001,2024-01-01,43
P0003,L001,2024-01-01,181
P0004,L001,2024-01-01,143
P0005,L001,2024-01-01,49
P0006,L001,2024-01-01,148
P0007,L001,2024-01-01,41
P0008,L001,2024-01-01,95
P0009,L001,2024-01-01,75
P0010,L001,2024-01-01,39
P0011,L001,2024-01-01,77
P0012,L001,2024-01-01,175
P0013,L001,2024-01-01,159
P0014,L001,2024-01-01,65
P0015,L001,2024-01-01,64
P0016,L001,2024-01-01,9
P0017,L001,2024-01-01,61
P0018,L001,2024-01-01,38
P0019,L001,2024-01-01,143
P0020,L001,2024-01-01,168
P0021,L001,2024-01-01,58
P0022,L001,2024-01-01,114
P0023,L001,2024-01-01,177
P0024,L001,2024-01-01,49
P0025,L001,2024-01-01,122
P0026,L001,2024-01-01,107
P0027,L001,2024-01-01,132
P0028,L001,2024-01-01,82
P0029,L001,2024-01-01,91
P0030,L001,2024-01-01,65
P0031,L001,2024-01-01,104
P0032,L001,2024-01-01,21
P0033,L001,2024-01-01,28
P0034,L001,2024-01-01,39
P0035,L001,2024-01-01,167
P0036,L001,2024-01-01,15
P0037,L001,2024-01-01,40
P0038,L001,2024-01-01,-16
P0039,L001,2024-01-01,63
P0040,L001,2024-01-01,140
P0041,L001,2024-01-01,190
P0042,L001,2024-01-01,62
P0043,L001,2024-01-01,137
P0044,L001,2024-01-01,104
P0045,L001,2024-01-01,90
P0046,L001,2024-01-01,139
P0047,L001,2024-01-01,147
P0048,L001,2024-01-01,87
P0049,L001,2024-01-01,101
P0050,L001,2024-01-01,78
P0051,L001,2024-01-01,181
P0052,L001,2024-01-01,46
P0053,L001,2024-01-01,60
P0054,L001,2024-01-01,67
P0055,L001,2024-01-01,127
P9002,L001,2024-01-01,119
P0057,L001,2024-01-01,75
P0058,L001,2024-01-01,186
P0059,L001,2024-01-01,152
P0060,L001,2024-01-01,17
P0061,L001,2024-01-01,171
P0062,L001,2024-01-01,130
P0063,L001,2024-01-01,94
P0064,L001,2024-01-01,60
P0065,L001,2024-01-01,11
P0066,L001,2024-01-01,38
P0067,L001,2024-01-01,78
P0068,L001,2024-01-01,82
P0069,L001,2024-01-01,91
P0070,L001,2024-01-01,12
P0071,L001,2024-01-01,121
P0072,L001,2024-01-01,127
P0073,L001,2024-01-01,-6
P0074,L001,2024-01-01,5
P0075,L001,2024-01-01,132
P0076,L001,2024-01-01,192
P0077,L001,2024-01-01,48
P0078,L001,2024-01-01,110
P0079,L001,2024-01-01,11
P0080,L001,2024-01-01,128
P0081,L001,2024-01-01,146
P0082,L001,2024-01-01,133
P0083,L001,2024-01-01,146
P0084,L001,2024-01-01,135
P0085,L001,2024-01-01,119
P0086,L001,2024-01-01,171
P0087,L001,2024-01-01,60
P0088,L001,2024-01-01,22
P0089,L001,2024-01-01,87
P0090,L001,2024-01-01,5
P0091,L001,2024-01-01,179
P0092,L001,2024-01-01,84
P0093,L001,2024-01-01,194
P0094,L001,2024-01-01,12
P0095,L001,2024-01-01,124
P0096,L001,2024-01-01,73
P0097,L001,2024-01-01,63
P0098,L001,2024-01-01,45
P0099,L001,2024-01-01,181
P0100,L001,2024-01-01,129
P0101,L001,2024-01-01,38
P0102,L001,2024-01-01,192
P0103,L001,2024-01-01,65
P0104,L001,2024-01-01,42
P0105,L001,2024-01-01,181
P0106,L001,2024-01-01,133
P0107,L001,2024-01-01,26
P0108,L001,2024-01-01,64
P0109,L001,2024-01-01,25
P0110,L001,2024-01-01,192
P0111,L001,2024-01-01,150
P0112,L001,2024-01-01,153
P0113,L001,2024-01-01,77
P0114,L001,2024-01-01,75
P0115,L001,2024-01-01,93
P0116,L001,2024-01-01,36
P0117,L001,2024-01-01,82
P0118,L001,2024-01-01,130
P0119,L001,2024-01-01,125
P0120,L001,2024-01-01,173
P0121,L001,2024-01-01,31
P0122,L001,2024-01-01,62
P0123,L001,2024-01-01,17
P0124,L001,2024-01-01,67
P0125,L001,2024-01-01,15
P0126,L001,2024-01-01,167
P0127,L001,2024-01-01,26
P0128,L001,2024-01-01,76
P0129,L001,2024-01-01,109
P0130,L001,2024-01-01,183
P0131,L001,2024-01-01,179
P0132,L001,2024-01-01,120
P0133,L001,2024-01-01,13
P0134,L001,2024-01-01,5
P0135,L001,2024-01-01,104
P0136,L001,2024-01-01,14
P0137,L001,2024-01-01,130
P0138,L001,2024-01-01,149
P0139,L001,2024-01-01,47
P0140,L001,2024-01-01,39
P0141,L001,2024-01-01,178
P0142,L001,2024-01-01,12
P0143,L001,2024-01-01,148
P0144,L001,2024-01-01,155
P0145,L001,2024-01-01,140
P0146,L001,2024-01-01,-13
P0147,L001,2024-01-01,34
P0148,L001,2024-01-01,99
P0149,L001,2024-01-01,17
P0150,L001,2024-01-01,70
P0001,L002,2024-01-01,2
P0002,L002,2024-01-01,164
P0003,L002,2024-01-01,173
P0004,L002,2024-01-01,76
P0005,L002,2024-01-01,60
P0006,L002,2024-01-01,101
P0007,L002,2024-01-01,-2
P0008,L002,2024-01-01,51
P0009,L002,2024-01-01,45
P0010,L002,2024-01-01,89
P0011,L002,2024-01-01,186
P0012,L002,2024-01-01,2
P0013,L002,2024-01-01,120
P0014,L002,2024-01-01,18
P0015,L002,2024-01-01,108
P0016,L002,2024-01-01,48
P0017,L002,2024-01-01,141
P0018,L002,2024-01-01,48
P0019,L002,2024-01-01,59
P0020,L002,2024-01-01,81
P0021,L002,2024-01-01,27
P0022,L002,2024-01-01,114
P0023,L002,2024-01-01,181
P0024,L002,2024-01-01,79
P0025,L002,2024-01-01,12
P0026,L002,2024-01-01,184
P0027,L002,2024-01-01,181
P0028,L002,2024-01-01,86
P0029,L002,2024-01-01,34
P0030,L002,2024-01-01,79
P0031,L002,2024-01-01,98
P0032,L002,2024-01-01,66
P0033,L002,2024-01-01,167
P0034,L002,2024-01-01,144
