item_id,pedido_id,produto_id,quantidade,preco_unitario,desconto
1,1,74,2,639.52,0.0
2,2,85,2,1844.63,0.0
3,2,55,3,2183.63,0.0
4,3,52,1,2043.74,0.09
5,4,121,1,1878.7,0.01
6,5,86,3,161.77,0.0
7,5,16,3,496.88,0.01
8,6,144,2,2123.08,0.0
9,6,52,3,2043.74,0.0
10,7,94,1,1680.92,0.0
11,8,90,4,1021.36,0.0
12,8,133,4,2453.25,0.0
13,9,86,2,161.77,0.0
14,9,95,4,1001.55,0.0
15,10,145,4,1277.66,0.0
16,11,11,2,250.01,0.01
17,11,54,3,2368.18,0.0
18,12,63,2,2151.9,0.01
19,13,115,4,2261.74,0.0
20,13,45,1,760.14,0.0
21,13,12,2,1517.24,0.02
22,14,32,1,1469.77,0.0
23,14,115,4,2261.74,0.0
24,15,130,1,572.85,0.0
25,16,58,2,1631.7,0.0
26,16,125,1,2009.54,0.06
27,17,12,4,1517.24,0.0
28,17,18,2,2141.19,0.0
29,17,103,3,1331.77,0.0
30,18,81,4,2317.76,0.11
31,18,8,4,2027.39,0.06
32,19,84,1,755.84,0.02
33,20,126,2,681.68,0.0
34,21,85,2,1844.63,0.01
35,21,149,4,1431.38,0.11
36,22,7,3,1060.41,0.0
37,23,75,1,2023.9,0.0
38,24,61,3,1479.33,0.0
39,24,79,1,2164.33,0.0
40,25,61,1,1479.33,0.09
41,25,117,2,123.74,0.08
42,26,94,2,1680.92,0.08
43,27,2,4,573.56,0.13
44,27,44,1,1279.05,0.0
45,28,118,3,2249.33,0.03
46,28,120,3,2212.65,0.0
47,29,31,2,1867.57,0.07
48,29,25,2,1401.24,0.0
49,29,149,3,1431.38,0.0
50,30,3,2,1856.86,0.1
51,30,8,2,2027.39,0.03
52,30,83,3,1661.44,0.06
53,31,81,1,2317.76,0.0
54,31,78,3,432.45,0.0
55,32,145,4,1277.66,0.0
56,32,149,3,1431.38,0.0
57,32,101,4,726.77,0.12
58,33,102,3,1764.78,0.02
59,33,127,4,968.7,0.01
60,34,86,2,161.77,0.13
61,35,116,3,1464.62,0.0
62,36,114,2,43.98,0.1
63,36,125,4,2009.54,0.0
64,36,89,3,189.93,0.0
65,37,36,3,1984.36,0.01
66,38,63,1,2151.9,0.0
67,38,125,3,2009.54,0.11
68,39,50,1,613.84,0.0
69,39,45,1,760.14,0.0
70,40,148,2,1699.75,0.0
71,40,109,3,642.78,0.05
72,41,100,2,2204.54,0.0
73,41,132,3,890.84,0.13
74,42,78,1,432.45,0.0
75,43,145,4,1277.66,0.0
76,44,48,4,2297.86,0.0
77,45,27,3,1014.89,0.02
78,45,67,2,2022.59,0.15
79,46,121,2,1878.7,0.0
80,47,82,1,1069.06,0.0
81,47,19,2,709.37,0.11
82,47,110,4,248.9,0.0
83,48,128,1,571.64,0.0
84,49,48,2,2297.86,0.09
85,50,146,1,1017.95,0.0
86,51,25,2,1401.24,0.13
87,52,53,4,1919.27,0.0
88,53,22,1,197.08,0.06
89,53,140,1,1309.4,0.0
90,54,64,1,710.62,0.0
91,55,25,2,1401.24,0.0
92,56,71,3,1018.5,0.0
93,57,35,3,2155.54,0.0
94,58,7,4,1060.41,0.0
95,58,55,3,2183.63,0.0
96,59,138,4,306.8,0.0
97,59,34,1,1283.63,0.0
98,60,146,4,1017.95,0.0
99,61,136,3,288.84,0.05
100,62,122,3,2164.22,0.0
101,63,108,1,1592.91,0.0
102,63,54,1,2368.18,0.0
103,63,121,3,1878.7,0.0
104,64,85,3,1844.63,0.07
105,64,1,3,296.1,0.0
106,64,111,2,129.34,0.0
107,65,92,4,223.32,0.0
108,65,24,3,689.47,0.0
109,66,43,2,673.2,0.14
110,66,48,2,2297.86,0.02
111,67,8,3,2027.39,0.0
112,68,93,3,1316.5,0.0
113,69,132,3,890.84,0.0
114,70,82,1,1069.06,0.0
115,70,28,1,2193.39,0.0
116,70,34,1,1283.63,0.0
117,71,106,2,1391.99,0.0
118,72,142,3,508.65,0.12
119,72,10,4,553.98,0.0
120,73,98,4,2490.32,0.03
121,73,82,1,1069.06,0.03
122,74,143,2,2303.51,0.0
123,74,67,4,2022.59,0.0
124,74,47,1,1357.66,0.0
125,75,117,3,123.74,0.0
126,76,62,1,1585.14,0.01
127,76,141,4,1804.19,0.0
128,77,108,1,1592.91,0.0
129,77,119,2,1673.99,0.0
130,78,35,1,2155.54,0.0
131,78,81,1,2317.76,0.0
132,78,82,4,1069.06,0.13
133,79,79,3,2164.33,0.0
134,80,60,2,858.45,0.0
135,80,70,4,1640.57,0.0
136,81,68,2,1654.28,0.0
137,82,86,2,161.77,0.0
138,82,81,3,2317.76,0.0
139,82,69,2,1178.22,0.03
140,83,50,4,613.84,0.1
141,84,129,1,887.15,0.0
142,85,29,4,1258.09,0.0
143,85,42,4,28.05,0.0
144,85,27,2,1014.89,0.0
145,86,74,3,639.52,0.06
146,87,60,3,858.45,0.0
147,88,82,4,1069.06,0.0
148,88,71,1,1018.5,0.11
149,88,5,4,597.0,0.0
150,89,76,4,145.46,0.12
151,90,43,2,673.2,0.0
152,90,33,1,917.75,0.0
153,90,95,2,1001.55,0.0
154,91,29,4,1258.09,0.09
155,91,15,2,1553.93,0.0
156,92,129,3,887.15,0.08
157,92,98,3,2490.32,0.0
158,93,68,2,1654.28,0.0
159,93,111,4,129.34,0.0
160,94,1,3,296.1,0.0
161,94,48,4,2297.86,0.0
162,94,99,3,1274.59,0.0
163,95,9,4,1751.39,0.0
164,96,83,4,1661.44,0.0
165,97,91,4,630.61,0.0
166,97,137,2,1970.34,0.0
167,98,82,2,1069.06,0.0
168,99,18,3,2141.19,0.0
169,100,94,2,1680.92,0.08
170,100,147,2,495.76,0.05
171,101,23,1,1828.23,0.0
172,101,121,2,1878.7,0.0
173,102,145,1,1277.66,0.04
174,103,149,1,1431.38,0.11
175,103,6,1,513.12,0.0
176,104,27,4,1014.89,0.0
177,104,50,3,613.84,0.0
178,105,143,1,2303.51,0.0
179,105,141,2,1804.19,0.0
180,105,64,1,710.62,0.0
181,106,37,2,974.22,0.0
182,106,21,4,682.1,0.0
183,107,104,1,762.46,0.0
184,107,122,4,2164.22,0.11
185,108,22,3,197.08,0.0
186,108,83,4,1661.44,0.0
187,109,144,2,2123.08,0.0
188,109,138,1,306.8,0.0
189,110,88,1,2402.73,0.0
190,111,119,2,1673.99,0.0
191,112,61,2,1479.33,0.0
192,112,78,2,432.45,0.0
193,112,7,3,1060.41,0.0
194,113,6,2,513.12,0.0
195,113,92,2,223.32,0.0
196,113,85,3,1844.63,0.0
197,114,3,2,1856.86,0.0
198,114,87,4,2300.08,0.0
199,115,50,3,613.84,0.01
200,115,76,1,145.46,0.0
201,115,99,4,1274.59,0.0
202,116,12,1,1517.24,0.0
203,116,100,3,2204.54,0.0
204,117,20,3,423.38,0.0
205,117,133,3,2453.25,0.0
206,118,43,4,673.2,0.0
207,119,54,3,2368.18,0.0
208,119,48,1,2297.86,0.0
209,119,37,2,974.22,0.0
210,120,119,2,1673.99,0.0
211,120,135,2,1459.86,0.0
212,120,120,2,2212.65,0.06
213,121,131,4,834.09,0.14
214,121,86,2,161.77,0.0
215,122,147,3,495.76,0.0
216,122,57,3,518.85,0.0
217,123,3,1,1856.86,0.0
218,123,97,2,43.1,0.0
219,124,148,2,1699.75,0.0
220,124,101,3,726.77,0.0
221,124,69,2,1178.22,0.0
222,125,11,1,250.01,0.08
223,126,49,2,68.3,0.0
224,126,142,1,508.65,0.13
225,127,96,4,1153.92,0.0
226,128,12,1,1517.24,0.04
227,129,91,3,630.61,0.0
228,129,56,4,2323.71,0.0
229,130,96,3,1153.92,0.0
230,130,50,4,613.84,0.0
231,131,93,3,1316.5,0.0
232,131,102,4,1764.78,0.0
233,131,117,3,123.74,0.0
234,132,45,3,760.14,0.0
235,132,93,3,1316.5,0.0
236,132,57,4,518.85,0.0
237,133,12,4,1517.24,0.0
238,133,15,2,1553.93,0.0
239,134,135,3,1459.86,0.0
240,134,88,1,2402.73,0.0
241,134,140,4,1309.4,0.0
242,135,142,3,508.65,0.0
243,135,140,1,1309.4,0.0
244,136,78,2,432.45,0.0
245,136,14,1,215.42,0.0
246,137,17,4,585.19,0.0
247,138,9,4,1751.39,0.06
248,139,148,1,1699.75,0.0
249,140,134,4,306.05,0.0
250,140,77,1,2423.11,0.0
251,141,89,2,189.93,0.0
252,142,93,4,1316.5,0.0
253,142,150,1,773.61,0.0
254,142,33,3,917.75,0.15
255,143,99,1,1274.59,0.0
256,143,81,4,2317.76,0.01
257,143,133,4,2453.25,0.0
258,144,68,4,1654.28,0.09
259,145,41,2,296.65,0.03
260,145,86,4,161.77,0.0
261,146,123,1,2205.91,0.0
262,146,82,4,1069.06,0.0
263,147,132,2,890.84,0.05
264,147,140,4,1309.4,0.0
265,148,25,2,1401.24,0.0
266,148,141,4,1804.19,0.1
267,149,22,3,197.08,0.0
268,149,95,4,1001.55,0.0
269,149,143,4,2303.51,0.0
270,150,129,4,887.15,0.05
271,151,60,2,858.45,0.0
272,151,17,2,585.19,0.09
273,152,142,2,508.65,0.0
274,152,10,3,553.98,0.04
275,153,127,2,968.7,0.0
276,153,104,1,762.46,0.0
277,154,98,1,2490.32,0.0
278,155,68,4,1654.28,0.0
279,155,129,4,887.15,0.0
280,156,126,3,681.68,0.0
281,156,5,1,597.0,0.04
282,157,139,1,651.71,0.04
283,158,95,4,1001.55,0.0
284,158,47,1,1357.66,0.14
285,159,104,2,762.46,0.08
286,159,31,1,1867.57,0.0
287,160,46,2,513.3,0.0
288,160,99,1,1274.59,0.04
289,160,135,4,1459.86,0.0
290,161,141,4,1804.19,0.0
291,161,52,4,2043.74,0.0
292,161,85,2,1844.63,0.11
293,162,49,1,68.3,0.0
294,162,106,1,1391.99,0.08
295,162,117,1,123.74,0.0
296,163,17,3,585.19,0.12
297,164,1,1,296.1,0.01
298,164,120,2,2212.65,0.0
299,165,75,1,2023.9,0.12
300,166,26,3,588.04,0.0
301,167,88,3,2402.73,0.0
302,168,74,3,639.52,0.1
303,168,111,2,129.34,0.0
304,169,54,1,2368.18,0.0
305,169,10,4,553.98,0.14
306,170,115,1,2261.74,0.08
307,170,96,2,1153.92,0.0
308,171,71,1,1018.5,0.0
309,172,92,3,223.32,0.0
310,172,47,3,1357.66,0.0
311,173,128,1,571.64,0.0
312,173,130,3,572.85,0.0
313,174,108,3,1592.91,0.0
314,174,53,3,1919.27,0.0
315,174,82,1,1069.06,0.1
316,175,35,1,2155.54,0.0
317,175,52,2,2043.74,0.0
318,176,111,4,129.34,0.0
319,176,14,2,215.42,0.0
320,177,91,1,630.61,0.0
321,177,61,1,1479.33,0.0
322,178,34,3,1283.63,0.0
323,178,83,3,1661.44,0.13
324,178,72,2,636.67,0.0
325,179,116,3,1464.62,0.0
326,180,115,2,2261.74,0.0
327,180,31,2,1867.57,0.1
328,181,36,1,1984.36,0.0
329,182,114,3,43.98,0.0
330,182,113,2,1115.75,0.0
331,183,16,1,496.88,0.0
332,183,3,4,1856.86,0.0
333,183,146,4,1017.95,0.0
334,184,88,1,2402.73,0.0
335,184,127,3,968.7,0.0
336,185,10,3,553.98,0.0
337,185,125,1,2009.54,0.0
338,186,18,2,2141.19,0.0
339,186,128,2,571.64,0.0
340,186,144,4,2123.08,0.0
341,187,145,1,1277.66,0.0
342,187,83,3,1661.44,0.0
343,188,77,2,2423.11,0.0
344,188,10,4,553.98,0.03
345,189,130,4,572.85,0.0
346,189,95,3,1001.55,0.08
347,190,94,3,1680.92,0.07
348,190,125,4,2009.54,0.0
349,190,137,4,1970.34,0.08
350,191,51,3,2368.43,0.0
351,192,145,1,1277.66,0.0
352,192,26,1,588.04,0.0
353,193,16,1,496.88,0.0
354,194,95,4,1001.55,0.1
355,194,9,2,1751.39,0.0
356,195,125,3,2009.54,0.0
357,195,70,2,1640.57,0.01
358,196,129,4,887.15,0.0
359,196,145,1,1277.66,0.0
360,196,4,4,1066.37,0.02
361,197,27,4,1014.89,0.0
362,197,122,4,2164.22,0.15
363,198,68,2,1654.28,0.0
364,199,76,3,145.46,0.08
365,199,45,4,760.14,0.13
366,199,23,3,1828.23,0.0
367,200,30,2,1157.95,0.0
368,200,108,4,1592.91,0.15
369,200,10,2,553.98,0.11
370,201,112,1,1600.04,0.0
371,202,43,4,673.2,0.06
372,203,135,2,1459.86,0.0
373,204,136,2,288.84,0.03
374,204,141,4,1804.19,0.0
375,205,98,2,2490.32,0.0
376,206,74,3,639.52,0.1
377,206,22,3,197.08,0.0
378,206,149,2,1431.38,0.0
379,207,11,4,250.01,0.0
380,207,64,4,710.62,0.06
381,207,141,3,1804.19,0.0
382,208,56,2,2323.71,0.06
383,208,76,2,145.46,0.14
384,209,20,1,423.38,0.0
385,210,37,1,974.22,0.1
386,211,91,3,630.61,0.0
387,211,57,4,518.85,0.0
388,211,17,3,585.19,0.0
389,212,133,3,2453.25,0.0
390,213,137,3,1970.34,0.15
391,213,24,1,689.47,0.0
392,213,115,3,2261.74,0.0
393,214,122,3,2164.22,0.0
394,214,84,2,755.84,0.0
395,214,74,2,639.52,0.11
396,215,122,2,2164.22,0.0
397,215,17,3,585.19,0.0
398,216,142,2,508.65,0.11
399,216,124,2,2312.73,0.0
400,217,148,4,1699.75,0.15
401,218,106,1,1391.99,0.0
402,219,60,4,858.45,0.0
403,219,58,3,1631.7,0.0
404,219,23,2,1828.23,0.0
405,220,133,2,2453.25,0.06
406,221,89,1,189.93,0.0
407,222,38,1,1332.2,0.0
408,222,109,1,642.78,0.0
409,223,142,1,508.65,0.0
410,223,140,3,1309.4,0.0
411,223,112,3,1600.04,0.0
412,224,63,1,2151.9,0.04
413,224,33,1,917.75,0.07
414,224,31,4,1867.57,0.0
415,225,123,1,2205.91,0.0
416,225,69,3,1178.22,0.0
417,225,124,4,2312.73,0.0
418,226,70,1,1640.57,0.13
419,227,39,1,1707.1,0.11
420,228,28,4,2193.39,0.0
421,228,75,4,2023.9,0.0
422,229,24,1,689.47,0.15
423,230,68,4,1654.28,0.0
