produto_id,nome_produto,categoria,preco_tabela,custo,ativo
1,Produto Banheiro 1,,296.1,184.31,1
2,Produto Decoração 2,,573.56,356.15,1
3,Produto Banheiro 3,,1856.86,1046.54,1
4,Produto Jardim 4,,1066.37,436.08,1
5,Produto Decoração 5,,597.0,346.62,1
6,Produto Jardim 6,,513.12,305.29,1
7,Produto Jardim 7,Jardim,1060.41,567.07,1
8,Produto Iluminação 8,Iluminação,2027.39,814.91,1
9,Produto Decoração 9,Decoração,1751.39,879.33,1
10,Produto Decoração 10,Decoração,553.98,348.48,1
11,Produto Móveis 11,Móveis,250.01,107.26,1
12,Produto Iluminação 12,Iluminação,1517.24,974.28,1
13,Produto Banheiro 13,Banheiro,1159.37,507.16,1
14,Produto Cozinha 14,Cozinha,215.42,105.11,1
15,Produto Banheiro 15,Banheiro,1553.93,1023.28,1
16,Produto Jardim 16,Jardim,496.88,209.12,1
17,Produto Banheiro 17,Banheiro,585.19,284.88,1
18,Produto Móveis 18,Móveis,2141.19,1413.07,1
19,Produto Cozinha 19,Cozinha,709.37,419.03,1
20,Produto Iluminação 20,Iluminação,423.38,214.48,1
21,Produto Banheiro 21,Banheiro,682.1,464.51,1
22,Produto Banheiro 22,Banheiro,197.08,116.37,1
23,Produto Jardim 23,Jardim,1828.23,820.91,1
24,Produto Cozinha 24,Cozinha,689.47,467.2,1
25,Produto Banheiro 25,Banheiro,1401.24,848.29,1
26,Produto Móveis 26,Móveis,588.04,240.88,1
27,Produto Iluminação 27,Iluminação,1014.89,426.11,1
28,Produto Jardim 28,Jardim,2193.39,1084.42,1
29,Produto Banheiro 29,Banheiro,1258.09,837.14,1
30,Produto Banheiro 30,Banheiro,1157.95,555.2,1
31,Produto Decoração 31,Decoração,1867.57,1049.0,1
32,Produto Banheiro 32,Banheiro,1469.77,983.79,1
33,Produto Cozinha 33,Cozinha,917.75,641.69,1
34,Produto Decoração 34,Decoração,1283.63,548.46,1
35,Produto Móveis 35,Móveis,2155.54,961.05,1
36,Produto Decoração 36,Decoração,1984.36,1045.06,1
37,Produto Móveis 37,Móveis,974.22,563.85,1
38,Produto Cozinha 38,Cozinha,1332.2,920.98,1
39,Produto Móveis 39,Móveis,1707.1,741.51,1
40,Produto Jardim 40,Jardim,1882.18,1186.86,1
41,Produto Iluminação 41,Iluminação,296.65,157.35,1
42,Produto Cozinha 42,Cozinha,28.05,17.3,1
43,Produto Banheiro 43,Banheiro,673.2,370.38,1
44,Produto Decoração 44,Decoração,1279.05,552.45,1
45,Produto Banheiro 45,Banheiro,760.14,449.76,1
46,Produto Jardim 46,Jardim,513.3,262.9,1
47,Produto Decoração 47,Decoração,1357.66,860.2,1
48,Produto Jardim 48,Jardim,2297.86,1332.03,1
49,Produto Cozinha 49,Cozinha,68.3,46.36,1
50,Produto Iluminação 50,Iluminação,613.84,289.89,1
51,Produto Jardim 51,Jardim,2368.43,1008.23,1
52,Produto Cozinha 52,Cozinha,2043.74,1417.12,1
53,Produto Jardim 53,Jardim,1919.27,841.63,1
54,Produto Cozinha 54,Cozinha,2368.18,1064.59,1
