item_id,pedido_id,produto_id,quantidade,preco_unitario,desconto
IT000001,PD000001,P0146,1,40.47,0.0
IT000002,PD000001,P0077,3,115.59,20.4
IT000003,PD000001,P0025,1,471.5,0.0
IT000004,PD000001,P0062,4,280.53,0.0
IT000005,PD000002,P0094,4,627.64,69.74
IT000006,PD000003,P0141,3,758.15,0.0
IT000007,PD000003,P0122,1,778.91,0.0
IT000008,PD000004,P0026,3,824.6,0.0
IT000009,PD000005,P0051,3,41.24,0.0
IT000010,PD000006,P0142,1,295.75,32.86
IT000011,PD000006,P0104,5,99.73,0.0
IT000012,PD000006,P0052,4,277.49,0.0
IT000013,PD000006,P0080,1,213.43,0.0
IT000014,PD000006,P0040,1,298.6,15.72
IT000015,PD000007,P0062,2,266.5,14.03
IT000016,PD000007,P0089,1,591.93,0.0
IT000017,PD000008,P0057,4,791.3,0.0
IT000018,PD000009,P0109,3,286.71,0.0
IT000019,PD000010,P0043,5,247.2,27.47
IT000020,PD000010,P0091,3,299.79,0.0
IT000021,PD000011,P0098,1,283.19,14.9
IT000022,PD000012,P0134,4,597.01,0.0
IT000023,PD000012,P0058,1,516.7,27.19
IT000024,PD000012,P0144,5,403.77,0.0
IT000025,PD000013,P0075,5,57.98,0.0
IT000026,PD000014,P0011,5,447.02,78.88
IT000027,PD000015,P0088,2,553.72,0.0
IT000028,PD000016,P0094,3,662.51,34.87
IT000029,PD000017,P0017,3,69.32,0.0
IT000030,PD000018,P0105,4,19.23,0.0
IT000031,PD000019,P0059,2,617.46,68.61
IT000032,PD000019,P0086,2,522.69,58.08
IT000033,PD000020,P0078,1,838.02,0.0
IT000034,PD000020,P0102,2,142.46,7.5
IT000035,PD000020,P0038,1,605.23,0.0
IT000036,PD000021,P0054,5,357.67,0.0
IT000037,PD000022,P0123,4,26.51,1.4
IT000038,PD000022,P0082,2,462.4,81.6
IT000039,PD000023,P0103,5,521.37,0.0
IT000040,PD000023,P0102,3,149.96,0.0
IT000041,PD000024,P0140,1,571.08,30.06
IT000042,PD000024,P0040,3,298.6,15.72
IT000043,PD000025,P0021,2,111.06,5.85
IT000044,PD000026,P0050,3,36.22,0.0
IT000045,PD000027,P0002,4,626.21,0.0
IT000046,PD000028,P0029,3,75.56,13.33
IT000047,PD000029,P0143,5,423.18,74.68
IT000048,PD000030,P0129,5,796.69,0.0
IT000049,PD000031,P0043,1,274.67,0.0
IT000050,PD000031,P0051,3,35.05,6.19
IT000051,PD000031,P0120,1,553.97,0.0
IT000052,PD000032,P0073,3,252.84,0.0
IT000053,PD000032,P0044,2,624.22,0.0
IT000054,PD000033,P0060,2,722.28,38.01
IT000055,PD000034,P0005,4,516.93,0.0
IT000056,PD000034,P0048,2,658.76,0.0
IT000057,PD000034,P0125,5,737.66,81.96
IT000058,PD000035,P0124,4,372.53,0.0
IT000059,PD000036,P0034,1,132.67,0.0
IT000060,PD000036,P0067,3,109.34,5.75
IT000061,PD000036,P0062,3,280.53,0.0
IT000062,PD000037,P0059,5,651.77,34.3
IT000063,PD000037,P0019,3,269.35,0.0
IT000064,PD000038,P0114,2,827.46,0.0
IT000065,PD000038,P0071,1,818.64,0.0
IT000066,PD000038,P0062,4,266.5,14.03
IT000067,PD000039,P0113,1,224.62,11.82
IT000068,PD000039,P0039,3,659.01,0.0
IT000069,PD000040,P0094,3,697.38,0.0
IT000070,PD000040,P0147,5,701.87,0.0
IT000071,PD000041,P0064,1,698.04,0.0
IT000072,PD000041,P0117,3,471.87,24.84
IT000073,PD000042,P0020,5,586.33,0.0
IT000074,PD000043,P0044,3,530.59,93.63
IT000075,PD000043,P0134,2,597.01,0.0
IT000076,PD000044,P0102,2,149.96,0.0
IT000077,PD000045,P0005,3,516.93,0.0
IT000078,PD000046,P0061,1,689.21,0.0
IT000079,PD000046,P0098,5,298.09,0.0
IT000080,PD000046,P0149,4,625.04,32.9
IT000081,PD000046,P0068,5,722.1,80.23
IT000082,PD000047,P0101,3,551.1,0.0
IT000083,PD000048,P0069,1,448.19,0.0
IT000084,PD000049,P0037,2,19.61,0.0
IT000085,PD000050,P0053,1,656.9,115.92
IT000086,PD000050,P0010,4,375.67,0.0
IT000087,PD000051,P0074,3,523.99,0.0
IT000088,PD000051,P0041,1,556.77,0.0
IT000089,PD000051,P0066,3,363.54,0.0
IT000090,PD000052,P0054,4,357.67,0.0
IT000091,PD000052,P0100,5,755.72,0.0
IT000092,PD000053,P0135,1,315.18,0.0
IT000093,PD000054,P0113,4,236.44,0.0
IT000094,PD000054,P0055,1,206.05,0.0
IT000095,PD000054,P0125,4,819.62,0.0
IT000096,PD000054,P0022,4,39.34,4.37
IT000097,PD000055,P0145,4,216.12,38.14
IT000098,PD000055,P0121,4,720.25,80.03
IT000099,PD000056,P0128,3,156.53,0.0
IT000100,PD000056,P0076,4,773.4,0.0
IT000101,PD000057,P0029,1,177.78,0.0
IT000102,PD000057,P0080,1,181.42,32.01
IT000103,PD000058,P0058,4,543.89,0.0
IT000104,PD000058,P0114,1,786.09,41.37
IT000105,PD000058,P0117,5,496.71,0.0
IT000106,PD000059,P0021,3,111.06,5.85
IT000107,PD000059,P0073,2,252.84,0.0
IT000108,PD000060,P0090,5,757.31,39.86
IT000109,PD000061,P0125,4,778.64,40.98
IT000110,PD000061,P0041,1,621.58,32.71
IT000111,PD000061,P0128,4,156.53,0.0
IT000112,PD000061,P0096,1,83.47,9.27
IT000113,PD000062,P0003,1,145.28,0.0
IT000114,PD000062,P0071,3,818.64,0.0
IT000115,PD000062,P0131,5,528.53,0.0
IT000116,PD000062,P0133,5,747.61,0.0
IT000117,PD000062,P0060,4,760.29,0.0
IT000118,PD000063,P0033,5,237.1,12.48
IT000119,PD000063,P0050,3,36.22,0.0
IT000120,PD000064,P0134,2,597.01,0.0
IT000121,PD000064,P0025,4,471.5,0.0
IT000122,PD000064,P0003,5,145.28,0.0
IT000123,PD000064,P0072,5,430.2,0.0
IT000124,PD000065,P0081,1,273.79,48.32
IT000125,PD000066,P0108,1,609.67,0.0
IT000126,PD000067,P0129,5,677.19,119.5
IT000127,PD000067,P0079,4,576.23,0.0
IT000128,PD000068,P0020,3,586.33,0.0
IT000129,PD000068,P0146,4,40.47,0.0
IT000130,PD000068,P0129,3,796.69,0.0
IT000131,PD000069,P0005,2,439.39,77.54
IT000132,PD000069,P0016,3,496.18,26.12
IT000133,PD000070,P0123,5,25.12,2.79
IT000134,PD000071,P0146,4,38.45,2.02
IT000135,PD000072,P0148,5,121.1,0.0
IT000136,PD000072,P0005,2,516.93,0.0
IT000137,PD000072,P0015,2,458.7,50.97
IT000138,PD000073,P0022,4,41.52,2.19
IT000139,PD000074,P0082,3,516.8,27.2
IT000140,PD000075,P0060,4,722.28,38.01
IT000141,PD000075,P0061,1,689.21,0.0
IT000142,PD000075,P0036,4,659.82,0.0
IT000143,PD000076,P0150,5,535.11,0.0
IT000144,PD000076,P0078,5,838.02,0.0
IT000145,PD000077,P0116,3,610.8,67.87
IT000146,PD000078,P0140,2,601.14,0.0
IT000147,PD000078,P0022,4,41.52,2.19
IT000148,PD000078,P0129,1,796.69,0.0
IT000149,PD000079,P0050,3,36.22,0.0
IT000150,PD000079,P0100,1,642.36,113.36
IT000151,PD000079,P0055,3,185.45,20.61
IT000152,PD000080,P0048,3,658.76,0.0
IT000153,PD000081,P0092,1,787.12,0.0
IT000154,PD000081,P0146,3,40.47,0.0
IT000155,PD000082,P0146,4,40.47,0.0
IT000156,PD000082,P0089,3,532.74,59.19
IT000157,PD000082,P0036,2,659.82,0.0
IT000158,PD000082,P0134,1,567.16,29.85
IT000159,PD000083,P0073,2,252.84,0.0
IT000160,PD000084,P0006,5,27.36,4.83
IT000161,PD000085,P0026,1,742.14,82.46
IT000162,PD000086,P0039,3,659.01,0.0
IT000163,PD000086,P0125,3,737.66,81.96
IT000164,PD000087,P0141,3,758.15,0.0
IT000165,PD000088,P0127,3,689.42,36.29
IT000166,PD000088,P0080,5,213.43,0.0
IT000167,PD000088,P0006,3,32.19,0.0
IT000168,PD000088,P0025,4,424.35,47.15
IT000169,PD000089,P0020,3,557.01,29.32
IT000170,PD000089,P0091,5,299.79,0.0
IT000171,PD000090,P0111,4,564.11,0.0
IT000172,PD000090,P0133,1,710.23,37.38
IT000173,PD000091,P0118,5,178.03,0.0
IT000174,PD000091,P0038,5,605.23,0.0
IT000175,PD000092,P0101,4,551.1,0.0
IT000176,PD000092,P0062,3,252.48,28.05
IT000177,PD000092,P0125,4,819.62,0.0
IT000178,PD000093,P0139,3,681.58,0.0
IT000179,PD000094,P0004,4,63.5,0.0
IT000180,PD000095,P0021,3,111.06,5.85
IT000181,PD000096,P0077,5,135.99,0.0
IT000182,PD000097,P0111,5,535.9,28.21
IT000183,PD000098,P0012,2,258.94,0.0
IT000184,PD000099,P0081,5,322.1,0.0
IT000185,PD000100,P0092,1,787.12,0.0
IT000186,PD000101,P0033,2,212.14,37.44
IT000187,PD000101,P0028,5,488.54,25.71
IT000188,PD000102,P0141,5,720.24,37.91
IT000189,PD000103,P0003,2,145.28,0.0
IT000190,PD000103,P0115,2,759.86,0.0
IT000191,PD000104,P0083,3,90.39,0.0
IT000192,PD000104,P0089,1,591.93,0.0
IT000193,PD000105,P0028,2,462.82,51.42
IT000194,PD000106,P0015,2,509.67,0.0
IT000195,PD000106,P0039,3,659.01,0.0
IT000196,PD000106,P0049,5,428.91,22.57
IT000197,PD000106,P0092,2,708.41,78.71
IT000198,PD000107,P0143,3,448.07,49.79
IT000199,PD000107,P0073,4,505.68,0.0
IT000200,PD000107,P0008,2,150.14,16.68
IT000201,PD000108,P0098,1,298.09,0.0
IT000202,PD000109,P0068,5,802.33,0.0
IT000203,PD000109,P0073,5,214.91,37.93
IT000204,PD000109,P0042,5,291.3,0.0
IT000205,PD000110,P0012,5,233.05,25.89
IT000206,PD000110,P0015,3,509.67,0.0
IT000207,PD000111,P0149,2,657.94,0.0
IT000208,PD000111,P0133,2,747.61,0.0
IT000209,PD000111,P0113,1,236.44,0.0
IT000210,PD000111,P0077,2,135.99,0.0
IT000211,PD000112,P0088,3,470.66,83.06
IT000212,PD000112,P0065,1,18.73,2.08
IT000213,PD000112,P0035,4,65.66,11.59
IT000214,PD000112,P0038,1,574.97,30.26
IT000215,PD000112,P0097,3,728.51,38.34
IT000216,PD000113,P0110,5,473.82,83.62
IT000217,PD000113,P0073,1,240.2,12.64
IT000218,PD000113,P0108,3,579.19,30.48
IT000219,PD000113,P0132,5,131.97,0.0
IT000220,PD000114,P0040,4,267.17,47.15
IT000221,PD000114,P0042,1,291.3,0.0
IT000222,PD000115,P0083,3,76.83,13.56
IT000223,PD000115,P0074,4,497.79,26.2
IT000224,PD000116,P0091,1,269.81,29.98
IT000225,PD000117,P0029,3,88.89,0.0
IT000226,PD000118,P0002,4,626.21,0.0
