categoria,nome_produto,preco_casanova,preco_medio_mercado,gap_pct
Iluminação,Produto Iluminação 81,322.1,259.27,24.23
Banheiro,Produto Banheiro 57,791.3,637.17,24.19
Móveis,Produto Móveis 76,773.4,624.16,23.91
Iluminação,Produto Iluminação 101,551.1,444.83,23.89
Móveis,Produto Móveis 37,19.61,15.83,23.88
Móveis,Produto Móveis 76,773.4,624.37,23.87
Móveis,Produto Móveis 76,773.4,624.49,23.85
Móveis,Produto Móveis 37,19.61,15.84,23.8
Móveis,Produto Móveis 37,19.61,15.85,23.72
Banheiro,Produto Banheiro 29,88.89,71.89,23.65
Iluminação,Produto Iluminação 101,551.1,445.73,23.64
Banheiro,Produto Banheiro 57,791.3,640.03,23.63
Banheiro,Produto Banheiro 29,88.89,71.91,23.61
Móveis,Produto Móveis 37,19.61,15.88,23.49
Banheiro,Produto Banheiro 57,791.3,641.89,23.28
Iluminação,Produto Iluminação 8,166.82,135.34,23.26
Banheiro,Produto Banheiro 29,88.89,72.19,23.13
Móveis,Produto Móveis 76,773.4,628.13,23.13
Iluminação,Produto Iluminação 8,166.82,135.5,23.11
Iluminação,Produto Iluminação 8,166.82,135.54,23.08
Banheiro,Produto Banheiro 29,88.89,72.24,23.05
Móveis,Produto Móveis 71,818.64,665.3,23.05
Móveis,Produto Móveis 76,773.4,628.89,22.98
Iluminação,Produto Iluminação 81,322.1,261.97,22.95
Móveis,Produto Móveis 71,818.64,665.87,22.94
Iluminação,Produto Iluminação 8,166.82,135.74,22.9
Móveis,Produto Móveis 76,773.4,629.48,22.86
Móveis,Produto Móveis 71,818.64,666.65,22.8
Móveis,Produto Móveis 37,19.61,16.0,22.56
Iluminação,Produto Iluminação 101,551.1,449.66,22.56
Iluminação,Produto Iluminação 101,551.1,449.9,22.49
Iluminação,Produto Iluminação 8,166.82,136.31,22.38
Iluminação,Produto Iluminação 8,166.82,136.44,22.27
Banheiro,Produto Banheiro 57,791.3,647.42,22.22
Jardim,Produto Jardim 46,114.86,94.06,22.11
Iluminação,Produto Iluminação 8,166.82,136.63,22.1
Móveis,Produto Móveis 37,19.61,16.06,22.1
Jardim,Produto Jardim 46,114.86,94.1,22.06
Jardim,Produto Jardim 85,49.05,40.2,22.01
Móveis,Produto Móveis 35,77.25,63.33,21.98
Jardim,Produto Jardim 85,49.05,40.22,21.95
Iluminação,Produto Iluminação 101,551.1,451.92,21.95
Móveis,Produto Móveis 71,818.64,671.64,21.89
Móveis,Produto Móveis 35,77.25,63.38,21.88
Iluminação,Produto Iluminação 101,551.1,452.25,21.86
