categoria,nome_produto,qtd_vendida,receita_total,ranking_categoria
Banheiro,Produto Banheiro 133,1325,3250545.42,1
Banheiro,Produto Banheiro 115,1419,3209395.53,2
Banheiro,Produto Banheiro 124,1387,3207745.21,3
Banheiro,Produto Banheiro 143,1378,3174224.35,4
Banheiro,Produto Banheiro 144,1430,3035990.31,5
Banheiro,Produto Banheiro 137,1425,2807722.37,6
Banheiro,Produto Banheiro 141,1402,2529461.63,7
Banheiro,Produto Banheiro 70,1438,2359127.4,8
Banheiro,Produto Banheiro 15,1484,2306020.51,9
Banheiro,Produto Banheiro 58,1342,2189728.65,10
Banheiro,Produto Banheiro 108,1361,2167938.66,11
Banheiro,Produto Banheiro 62,1341,2125660.83,12
Banheiro,Produto Banheiro 106,1445,2011412.92,13
Banheiro,Produto Banheiro 32,1291,1897463.1,14
Banheiro,Produto Banheiro 25,1351,1893063.8,15
Banheiro,Produto Banheiro 103,1368,1821851.19,16
Banheiro,Produto Banheiro 29,1314,1653118.73,17
Banheiro,Produto Banheiro 30,1414,1637329.82,18
Banheiro,Produto Banheiro 13,1341,1554703.84,19
Banheiro,Produto Banheiro 113,1376,1535259.55,20
Banheiro,Produto Banheiro 45,1428,1085468.27,21
Banheiro,Produto Banheiro 21,1419,967886.47,22
Banheiro,Produto Banheiro 43,1332,896690.48,23
Banheiro,Produto Banheiro 17,1399,818666.5,24
Banheiro,Produto Banheiro 57,1369,710293.79,25
Banheiro,Produto Banheiro 142,1352,687682.17,26
Banheiro,Produto Banheiro 22,1413,278461.37,27
Cozinha,Produto Cozinha 54,1453,3440954.32,1
Cozinha,Produto Cozinha 75,1431,2896188.02,2
Cozinha,Produto Cozinha 125,1435,2883677.03,3
Cozinha,Produto Cozinha 52,1324,2705898.68,4
Cozinha,Produto Cozinha 67,1284,2596992.85,5
Cozinha,Produto Cozinha 148,1397,2374538.76,6
Cozinha,Produto Cozinha 38,1458,1942335.64,7
Cozinha,Produto Cozinha 69,1335,1572911.7,8
Cozinha,Produto Cozinha 33,1372,1259140.15,9
Cozinha,Produto Cozinha 129,1351,1198526.83,10
Cozinha,Produto Cozinha 131,1415,1180223.54,11
Cozinha,Produto Cozinha 24,1378,950077.24,12
Cozinha,Produto Cozinha 19,1321,937065.3,13
Cozinha,Produto Cozinha 109,1362,875452.86,14
Cozinha,Produto Cozinha 128,1448,827722.35,15
Cozinha,Produto Cozinha 74,1257,803864.76,16
Cozinha,Produto Cozinha 73,1392,511755.66,17
Cozinha,Produto Cozinha 14,1337,288005.47,18
Cozinha,Produto Cozinha 49,1394,95197.09,19
Cozinha,Produto Cozinha 42,1438,40323.99,20
Decoração,Produto Decoração 56,1448,3364718.96,1
Decoração,Produto Decoração 123,1328,2929436.51,2
Decoração,Produto Decoração 122,1320,2856757.78,3
Decoração,Produto Decoração 79,1272,2753017.54,4
Decoração,Produto Decoração 31,1409,2631393.11,5
Decoração,Produto Decoração 36,1297,2573704.16,6
Decoração,Produto Decoração 9,1424,2493966.34,7
Decoração,Produto Decoração 119,1469,2459078.32,8
Decoração,Produto Decoração 94,1445,2428916.46,9
Decoração,Produto Decoração 112,1377,2203243.21,10
Decoração,Produto Decoração 47,1554,2109789.44,11
Decoração,Produto Decoração 135,1402,2046711.95,12
Decoração,Produto Decoração 61,1371,2028148.98,13
Decoração,Produto Decoração 99,1411,1798431.81,14
Decoração,Produto Decoração 34,1348,1730321.12,15
Decoração,Produto Decoração 44,1332,1703682.63,16
Decoração,Produto Decoração 90,1371,1400274.18,17
Decoração,Produto Decoração 80,1346,1291946.76,18
Decoração,Produto Decoração 84,1260,952347.6,19
Decoração,Produto Decoração 64,1337,950088.26,20
Decoração,Produto Decoração 105,1357,917157.31,21
Decoração,Produto Decoração 139,1354,882403.52,22
Decoração,Produto Decoração 126,1279,871857.02,23
