ano_mes,total_pedidos,receita_total,ticket_medio
2022-01,1966,10592211.85,5387.7
2022-02,1773,9856227.98,5559.07
2022-03,1988,10728488.73,5396.62
2022-04,1975,11173098.61,5657.27
2022-05,2010,11329617.6,5636.63
2022-06,1920,10870940.27,5661.95
2022-07,1942,10502028.34,5407.84
2022-08,1957,10737835.7,5486.89
2022-09,1874,10152427.12,5417.52
2022-10,1951,10497085.55,5380.36
2022-11,1786,9604907.03,5377.89
2022-12,1933,10413040.63,5386.98
2023-01,1920,10651082.0,5547.44
2023-02,1737,9383601.18,5402.19
2023-03,1896,10248040.6,5405.08
2023-04,1938,10399665.05,5366.18
2023-05,1923,10617762.44,5521.46
2023-06,1833,10003840.4,5457.63
2023-07,1992,11375124.43,5710.4
2023-08,1910,10143610.09,5310.79
2023-09,1841,10085928.38,5478.51
2023-10,1996,10833005.62,5427.36
2023-11,1823,10242016.76,5618.22
2023-12,1961,10660792.01,5436.41
2024-01,59,300912.11,5100.21
