cliente_id,recencia_dias,frequencia,monetario,score_r,score_f,score_m
2921,1458,1,4980.64,1,1,1
10659,1457,1,1001.46,1,1,1
10956,1457,1,13358.09,1,1,2
8339,1456,1,834.09,1,1,1
11386,1456,1,2003.1,1,1,1
10886,1455,1,6466.62,1,1,1
10910,1455,1,10993.94,1,1,2
8528,1454,1,7100.27,1,1,1
263,1454,2,4362.58,1,1,1
2395,1453,1,28.05,1,1,1
11280,1453,1,3022.73,1,1,1
10911,1452,1,1080.32,1,1,1
5822,1452,1,2625.7,1,1,1
4600,1452,1,8734.5,1,1,1
3757,1451,1,2388.12,1,1,1
6543,1449,1,518.85,1,1,1
11665,1449,1,8357.9,1,1,1
7473,1448,1,4249.72,1,1,1
7646,1448,1,5859.3,1,1,1
2806,1448,1,17120.7,1,1,3
7067,1448,2,24641.63,1,2,4
4990,1447,1,367.65,1,1,1
6900,1444,1,893.28,1,1,1
11637,1444,1,2562.48,1,1,1
4237,1444,1,8417.21,1,1,1
4543,1436,1,5362.57,1,1,1
7860,1435,1,8207.85,1,1,1
6133,1433,1,5213.41,1,1,1
9137,1432,1,371.22,1,1,1
6391,1430,2,23793.92,1,2,4
5646,1428,1,596.86,1,1,1
5794,1428,1,2453.25,1,1,1
6238,1427,1,4265.48,1,1,1
1811,1427,1,15157.79,1,1,2
9710,1426,3,10494.52,1,2,2
8407,1425,1,7302.35,1,1,1
10034,1425,1,8823.62,1,1,1
2639,1424,2,12520.48,1,1,2
2004,1423,1,2842.48,1,1,1
11987,1423,1,9174.85,1,1,1
3288,1422,1,3004.52,1,1,1
4196,1422,2,4365.29,1,1,1
1690,1422,2,11935.5,1,1,2
8461,1421,1,2455.36,1,1,1
1978,1421,1,5428.73,1,1,1
97,1421,2,2539.22,1,1,1
11478,1421,2,5180.01,1,1,1
9381,1420,1,6499.81,1,1,1
1520,1419,1,3238.56,1,1,1
8266,1418,1,1469.67,1,1,1
5675,1418,1,2029.78,1,1,1
7104,1418,3,26576.9,1,3,4
3285,1417,1,2802.48,1,1,1
11953,1417,1,5549.41,1,1,1
3513,1417,1,13081.71,1,1,2
1937,1416,1,3478.11,1,1,1
5761,1416,2,8735.03,1,1,1
1403,1414,1,28.05,1,1,1
8504,1414,1,3891.85,1,1,1
5335,1414,2,12782.24,1,1,2
11829,1414,2,13977.3,1,2,2
1190,1413,2,13290.45,1,2,2
6026,1413,4,9876.23,1,3,1
9391,1412,1,9734.57,1,1,1
8141,1411,1,10540.3,1,1,2
4697,1410,1,1856.86,1,1,1
4311,1410,1,2898.0,1,1,1
624,1410,1,6239.89,1,1,1
7342,1410,1,20734.94,1,1,3
8686,1410,2,4361.13,1,1,1
4124,1410,2,5447.76,1,1,1
9325,1409,1,4035.4,1,1,1
10900,1409,1,4265.4,1,1,1
6932,1409,1,5896.7,1,1,1
5443,1409,2,13235.69,1,2,2
5259,1407,3,7002.32,1,2,1
3275,1406,1,1511.68,1,1,1
8603,1406,1,1878.66,1,1,1
4408,1404,1,136.6,1,1,1
595,1404,2,9676.51,1,1,1
996,1403,1,5570.58,1,1,1
3504,1403,1,9182.65,1,1,1
3812,1403,2,14811.4,1,2,2
8738,1403,3,17609.88,1,2,3
6343,1402,1,2312.73,1,1,1
10327,1401,1,584.96,1,1,1
5076,1401,1,4021.58,1,1,1
8837,1400,2,3321.81,1,1,1
8410,1400,2,3555.78,1,1,1
10321,1400,2,11548.09,1,1,2
3179,1400,2,14304.22,1,2,2
10844,1399,1,1224.2,1,1,1
4053,1399,1,4246.16,1,1,1
5948,1399,1,4736.36,1,1,1
11880,1399,2,26058.3,1,2,4
4564,1398,1,249.87,1,1,1
4648,1397,1,12638.16,1,1,2
3181,1397,1,13279.79,1,1,2
9370,1397,1,15166.48,1,1,2
6180,1397,2,6275.91,1,1,1
215,1396,1,4551.83,1,1,1
1061,1395,1,2287.38,1,1,1
8473,1395,2,18212.94,1,2,3
2499,1394,1,250.01,1,1,1
1203,1394,1,5032.26,1,1,1
4432,1394,2,8326.4,1,1,1
9401,1393,1,3185.75,1,1,1
6810,1393,1,4952.94,1,1,1
9610,1392,1,4558.63,1,1,1
2157,1391,2,11546.21,1,1,2
349,1391,2,11839.66,1,1,2
1584,1390,1,215.42,1,1,1
